,Model,Methodology,Metric,Mean,Std
168,CatBoostRegressor,randomCV,R2,0.84,0.09
169,CatBoostRegressor,randomCV,MAE,58.06,11.55
170,CatBoostRegressor,randomCV,RMSE,80.52,18.7
171,CatBoostRegressor,randomCV_removed,R2,0.77,0.1
172,CatBoostRegressor,randomCV_removed,MAE,50.89,8.79
173,CatBoostRegressor,randomCV_removed,RMSE,73.82,12.25
174,CatBoostRegressor,groupedCV,R2,0.28,0.57
175,CatBoostRegressor,groupedCV,MAE,111.86,65.18
176,CatBoostRegressor,groupedCV,RMSE,146.95,102.56
177,CatBoostRegressor,groupedCV_removed,R2,0.42,0.33
178,CatBoostRegressor,groupedCV_removed,MAE,88.64,32.85
179,CatBoostRegressor,groupedCV_removed,RMSE,108.26,40.37
180,LGBMRegressor,trainTest,R2,0.44,0
181,LGBMRegressor,trainTest,MAE,154.48,0
182,LGBMRegressor,trainTest,RMSE,251.63,0
183,LGBMRegressor,trainTest_removed,R2,0.49,0
184,LGBMRegressor,trainTest_removed,MAE,76.31,0
185,LGBMRegressor,trainTest_removed,RMSE,104.72,0
186,LGBMRegressor,randomCV,R2,0.38,0.15
187,LGBMRegressor,randomCV,MAE,115.81,17.25
188,LGBMRegressor,randomCV,RMSE,173.57,42.71
189,LGBMRegressor,randomCV_removed,R2,0.55,0.16
190,LGBMRegressor,randomCV_removed,MAE,80.06,15.94
191,LGBMRegressor,randomCV_removed,RMSE,108.16,24.09
192,LGBMRegressor,groupedCV,R2,-0.23,0.5
193,LGBMRegressor,groupedCV,MAE,144.78,85.41
194,LGBMRegressor,groupedCV,RMSE,206.85,133.59
195,LGBMRegressor,groupedCV_removed,R2,-0.23,1.19
196,LGBMRegressor,groupedCV_removed,MAE,112.71,40.53
197,LGBMRegressor,groupedCV_removed,RMSE,145.13,50.4
198,MLPRegressor,trainTest,R2,-0.51,0
199,MLPRegressor,trainTest,MAE,261.33,0
200,MLPRegressor,trainTest,RMSE,415.47,0
201,MLPRegressor,trainTest_removed,R2,-1.5,0
202,MLPRegressor,trainTest_removed,MAE,190.04,0
203,MLPRegressor,trainTest_removed,RMSE,231.69,0
204,MLPRegressor,randomCV,R2,-1.29,0.81
205,MLPRegressor,randomCV,MAE,240.5,45.62
206,MLPRegressor,randomCV,RMSE,329.51,77.01
207,MLPRegressor,randomCV_removed,R2,-1.64,0.74
208,MLPRegressor,randomCV_removed,MAE,204.04,22.12
209,MLPRegressor,randomCV_removed,RMSE,259.15,19.78
210,MLPRegressor,groupedCV,R2,-1.9,1.22
211,MLPRegressor,groupedCV,MAE,237.27,94.99
212,MLPRegressor,groupedCV,RMSE,304.85,142.81
213,MLPRegressor,groupedCV_removed,R2,-2.12,1.15
214,MLPRegressor,groupedCV_removed,MAE,207.04,54.01
215,MLPRegressor,groupedCV_removed,RMSE,253.58,70.46
216,VotingRegressor,trainTest,R2,0.88,0
217,VotingRegressor,trainTest,MAE,87.52,0
218,VotingRegressor,trainTest,RMSE,119.2,0
219,VotingRegressor,trainTest_removed,R2,0.69,0
220,VotingRegressor,trainTest_removed,MAE,55.89,0
221,VotingRegressor,trainTest_removed,RMSE,81.12,0
222,VotingRegressor,randomCV,R2,0.81,0.11
223,VotingRegressor,randomCV,MAE,66.04,12.61
224,VotingRegressor,randomCV,RMSE,88.88,18
225,VotingRegressor,randomCV_removed,R2,0.76,0.09
226,VotingRegressor,randomCV_removed,MAE,57.91,9.93
227,VotingRegressor,randomCV_removed,RMSE,77.44,13.19
228,VotingRegressor,groupedCV,R2,0.28,0.44
229,VotingRegressor,groupedCV,MAE,111.29,60.85
230,VotingRegressor,groupedCV,RMSE,147.5,96.38
231,VotingRegressor,groupedCV_removed,R2,0.43,0.3
232,VotingRegressor,groupedCV_removed,MAE,84.36,28.23
233,VotingRegressor,groupedCV_removed,RMSE,104.21,30.24
