,Model,Methodology,Metric,Mean,Std
167,LGBMRegressor,trainTest_removed,RMSE,79.47,0.0
168,LGBMRegressor,randomCV,R2,0.72,0.19
169,LGBMRegressor,randomCV,MAE,71.06,11.13
170,LGBMRegressor,randomCV,RMSE,102.9,23.45
171,LGBMRegressor,randomCV_removed,R2,0.74,0.11
172,LGBMRegressor,randomCV_removed,MAE,57.07,9.62
173,LGBMRegressor,randomCV_removed,RMSE,79.5,17.0
174,LGBMRegressor,groupedCV,R2,-0.4,1.07
175,LGBMRegressor,groupedCV,MAE,151.55,53.62
176,LGBMRegressor,groupedCV,RMSE,192.99,71.29
177,LGBMRegressor,groupedCV_removed,R2,0.37,0.25
178,LGBMRegressor,groupedCV_removed,MAE,90.7,22.42
179,LGBMRegressor,groupedCV_removed,RMSE,112.17,27.37
180,MLPRegressor,trainTest,R2,0.68,0.0
181,MLPRegressor,trainTest,MAE,96.33,0.0
182,MLPRegressor,trainTest,RMSE,160.39,0.0
183,MLPRegressor,trainTest_removed,R2,0.84,0.0
184,MLPRegressor,trainTest_removed,MAE,54.9,0.0
185,MLPRegressor,trainTest_removed,RMSE,72.81,0.0
186,MLPRegressor,randomCV,R2,0.68,0.23
187,MLPRegressor,randomCV,MAE,69.05,21.7
188,MLPRegressor,randomCV,RMSE,106.23,33.65
189,MLPRegressor,randomCV_removed,R2,0.7,0.14
190,MLPRegressor,randomCV_removed,MAE,59.34,14.44
191,MLPRegressor,randomCV_removed,RMSE,85.96,24.38
192,MLPRegressor,groupedCV,R2,-0.29,1.75
193,MLPRegressor,groupedCV,MAE,118.56,45.25
194,MLPRegressor,groupedCV,RMSE,157.52,51.34
195,MLPRegressor,groupedCV_removed,R2,-0.17,1.13
196,MLPRegressor,groupedCV_removed,MAE,105.66,33.57
197,MLPRegressor,groupedCV_removed,RMSE,130.13,42.57
